Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Provinsi Gorontalo;Nilai Rata-rata Sekolah UN SMP;67,24;62,8;61,41;64,76;;;;;;;;18677;0.6999372;1.224.467.238
Provinsi Jambi;Nilai Rata-rata Sekolah UN SMP;67,67;60,96;57,06;57,43;;;;;;;;55044;-14.851.831;1.024.380.581
Provinsi Jambi;Nilai Rata-rata Sekolah UN SMA IPA;72,88;61,22;50,97;;54,41;58,9;59,33;;;;;11388;-14.851.831;1.024.380.581
Provinsi Jambi;Nilai Rata-rata Sekolah UN SMA IPS;63,81;53,58;49,82;;;;;50,62;55,83;51,24;;15927;-14.851.831;1.024.380.581
Provinsi Jambi;Nilai Rata-rata Sekolah UN SMA SMK;55,63;44,86;34,29;;;;;;;;74,88;12151;-14.851.831;1.024.380.581
Provinsi Jawa Barat;Nilai Rata-rata Sekolah UN SMP;68,03;55,69;52,84;55,77;;;;;;;;761804;-7.090.911;107.668.887
Provinsi Jawa Barat;Nilai Rata-rata Sekolah UN SMA IPA;75,45;61,82;53,73;;67,49;59,04;63,85;;;;;105157;-7.090.911;107.668.887
Provinsi Jawa Barat;Nilai Rata-rata Sekolah UN SMA IPS;68,61;56,01;57,15;;;;;53,06;52,14;56,63;;110832;-7.090.911;107.668.887
Provinsi Jawa Barat;Nilai Rata-rata Sekolah UN SMA SMK;63,51;53,66;45,37;;;;;;;;77,83;247733;-7.090.911;107.668.887
Provinsi Jawa Tengah;Nilai Rata-rata Sekolah UN SMP;74,52;53,04;47,43;52,49;;;;;;;;542522;-7.150.975;1.101.402.594
Provinsi Jawa Tengah;Nilai Rata-rata Sekolah UN SMA IPA;77,98;61,63;50,33;;60,45;53,39;59,41;;;;;69263;-7.150.975;1.101.402.594
Provinsi Jawa Tengah;Nilai Rata-rata Sekolah UN SMA IPS;70,78;54,07;48,99;;;;;59,05;62,89;49,73;;82507;-7.150.975;1.101.402.594
Provinsi Jawa Tengah;Nilai Rata-rata Sekolah UN SMA SMK;72,91;56,86;56,02;;;;;;;;85,45;205490;-7.150.975;1.101.402.594
Provinsi Jawa Timur;Nilai Rata-rata Sekolah UN SMP;75,13;64,22;61,08;67,55;;;;;;;;582936;-75.360.639;1.122.384.017
Provinsi Jawa Timur;Nilai Rata-rata Sekolah UN SMA IPA;76,15;72,04;66,55;;72,64;60,43;68,43;;;;;101636;-75.360.639;1.122.384.017
Provinsi Jawa Timur;Nilai Rata-rata Sekolah UN SMA IPS;68,28;65,47;62,88;;;;;58,82;68,46;53,78;;120098;-75.360.639;1.122.384.017
Provinsi Jawa Timur;Nilai Rata-rata Sekolah UN SMA SMK;68,75;55,33;48,34;;;;;;;;77,97;195363;-75.360.639;1.122.384.017
