Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Kabupaten Bungo;Nilai Rata-rata Sekolah UN SMA IPA;76;68,42;65,89;;73,35;74,72;65,58;;;;;1256;-16.401.338;1.018.891.721
Kabupaten Bungo;Nilai Rata-rata Sekolah UN SMA IPS;66,27;65,92;72,35;;;;;60,92;64,2;58,65;;1498;-16.401.338;1.018.891.721
Kabupaten Bungo;Nilai Rata-rata Sekolah UN SMA SMK;52,8;38,98;29,37;;;;;;;;71,94;1035;-16.401.338;1.018.891.721
Kabupaten Buol;Nilai Rata-rata Sekolah UN SMP;59,2;49,55;45,78;51,13;;;;;;;;3035;0.9695452;1.213.541.631
Kabupaten Buol;Nilai Rata-rata Sekolah UN SMA IPS;49,79;41,78;26,33;;;;;31,4;41,84;33,68;;795;0.9695452;1.213.541.631
Kabupaten Buol;Nilai Rata-rata Sekolah UN SMA IPA;63,02;48,42;27,18;;37,21;31,06;36,85;;;;;438;0.9695452;1.213.541.631
Kabupaten Buol;Nilai Rata-rata Sekolah UN SMA SMK;49,81;33,94;25,35;;;;;;;;71,77;579;0.9695452;1.213.541.631
Kabupaten Buru;Nilai Rata-rata Sekolah UN SMA SMK;63,55;66,17;77,15;;;;;;;;75,77;279;-33.927.754;1.267.819.505
Kabupaten Buru;Nilai Rata-rata Sekolah UN SMA IPA;74,77;68,53;68,95;;63,64;59,23;67,05;;;;;729;-33.927.754;1.267.819.505
Kabupaten Buru;Nilai Rata-rata Sekolah UN SMA IPS;74,21;66,35;75,04;;;;;59,64;65,73;59,13;;767;-33.927.754;1.267.819.505
Kabupaten Buru;Nilai Rata-rata Sekolah UN SMP;79,29;73,93;70,52;71,89;;;;;;;;2575;-33.927.754;1.267.819.505
Kabupaten Buru Selatan;Nilai Rata-rata Sekolah UN SMA SMK;70,82;61,22;55,03;;;;;;;;73,44;272;-33.927.754;1.267.819.505
Kabupaten Buru Selatan;Nilai Rata-rata Sekolah UN SMA IPA;76,2;74,6;45,1;;54,03;58,47;59,28;;;;;224;-33.927.754;1.267.819.505
Kabupaten Buru Selatan;Nilai Rata-rata Sekolah UN SMA IPS;72,39;67,58;61,4;;;;;55,86;62,1;55,57;;426;-33.927.754;1.267.819.505
Kabupaten Buru Selatan;Nilai Rata-rata Sekolah UN SMP;80,33;69,65;63,2;66,04;;;;;;;;1406;-33.927.754;1.267.819.505
Kabupaten Buton;Nilai Rata-rata Sekolah UN SMA SMK;53,77;42,27;33,82;;;;;;;;72,46;284;-53.096.355;1.229.888.319
Kabupaten Buton;Nilai Rata-rata Sekolah UN SMA IPA;68,02;64,19;70,5;;76,08;60,26;65,06;;;;;675;-53.096.355;1.229.888.319
Kabupaten Buton;Nilai Rata-rata Sekolah UN SMA IPS;56,04;62,94;51,42;;;;;59,04;62,44;45,1;;640;-53.096.355;1.229.888.319
Kabupaten Buton;Nilai Rata-rata Sekolah UN SMP;67,96;56,43;54,32;60,75;;;;;;;;2147;-53.096.355;1.229.888.319
Kabupaten Buton Selatan;Nilai Rata-rata Sekolah UN SMP;65,86;58,07;57,53;61,73;;;;;;;;1919;;
Kabupaten Buton Selatan;Nilai Rata-rata Sekolah UN SMA IPS;62,87;57,42;48,22;;;;;55,29;60,08;46,39;;467;;
Kabupaten Buton Selatan;Nilai Rata-rata Sekolah UN SMA IPA;69,57;60,52;67,51;;77,53;51,37;66,62;;;;;387;;
Kabupaten Buton Selatan;Nilai Rata-rata Sekolah UN SMA SMK;57,35;49,77;40,2;;;;;;;;79,02;112;;
Kabupaten Buton Tengah;Nilai Rata-rata Sekolah UN SMA SMK;74,21;53,27;69,59;;;;;;;;74,6;182;;
Kabupaten Buton Tengah;Nilai Rata-rata Sekolah UN SMA IPA;71,65;60,55;66,17;;70,11;58,75;60,28;;;;;602;;
Kabupaten Buton Tengah;Nilai Rata-rata Sekolah UN SMA IPS;64,63;59,75;50,48;;;;;62,23;61,76;47,04;;604;;
Kabupaten Buton Tengah;Nilai Rata-rata Sekolah UN SMP;68,85;62,59;60,83;63,06;;;;;;;;2132;;
Kabupaten Buton Utara;Nilai Rata-rata Sekolah UN SMP;74,17;67,38;69,4;70,36;;;;;;;;1256;-47.023.424;1.230.338.767
Kabupaten Buton Utara;Nilai Rata-rata Sekolah UN SMA IPS;71,73;66,59;76,58;;;;;68,72;70,07;62;;477;-47.023.424;1.230.338.767
Kabupaten Buton Utara;Nilai Rata-rata Sekolah UN SMA IPA;75,99;69,29;78,25;;81,66;73,81;63,93;;;;;346;-47.023.424;1.230.338.767
Kabupaten Buton Utara;Nilai Rata-rata Sekolah UN SMA SMK;76,71;66,22;73,08;;;;;;;;73,81;117;-47.023.424;1.230.338.767
Kabupaten Ciamis;Nilai Rata-rata Sekolah UN SMP;70,54;56,72;55,89;57,59;;;;;;;;19590;-73.333.333;4,52
Kabupaten Ciamis;Nilai Rata-rata Sekolah UN SMA IPA;75,85;60,37;53,8;;70,08;57,77;65,27;;;;;2369;-73.333.333;4,52
Kabupaten Ciamis;Nilai Rata-rata Sekolah UN SMA IPS;69,47;54,15;53,39;;;;;52,27;53,29;52,34;;3193;-73.333.333;4,52
Kabupaten Ciamis;Nilai Rata-rata Sekolah UN SMA SMK;66,65;53,74;50,54;;;;;;;;76,3;4900;-73.333.333;4,52
Kabupaten Cianjur;Nilai Rata-rata Sekolah UN SMP;68,11;62,81;61,48;62,91;;;;;;;;39679;-68.172.531;1.071.307.289
Kabupaten Cianjur;Nilai Rata-rata Sekolah UN SMA SMK;67,4;66,58;64,58;;;;;;;;76,34;9714;-68.172.531;1.071.307.289
Kabupaten Cianjur;Nilai Rata-rata Sekolah UN SMA IPS;64,52;50,96;48,76;;;;;46,6;49,34;47,43;;4677;-68.172.531;1.071.307.289
Kabupaten Cianjur;Nilai Rata-rata Sekolah UN SMA IPA;72,77;58,13;50,12;;60,65;51,64;56,05;;;;;3311;-68.172.531;1.071.307.289
Kabupaten Cilacap;Nilai Rata-rata Sekolah UN SMA SMK;74,06;59,78;59,05;;;;;;;;86,66;11332;-7.733.333;109
Kabupaten Cilacap;Nilai Rata-rata Sekolah UN SMA IPS;72,07;50,31;50,57;;;;;55,9;59,93;48,38;;3834;-7.733.333;109
Kabupaten Cilacap;Nilai Rata-rata Sekolah UN SMA IPA;78,2;56,99;43,15;;55,57;51,91;55,15;;;;;2859;-7.733.333;109
Kabupaten Cilacap;Nilai Rata-rata Sekolah UN SMP;75,3;52,51;48,99;53,36;;;;;;;;29797;-7.733.333;109
Kabupaten Cirebon;Nilai Rata-rata Sekolah UN SMP;66,21;51,96;50,67;53,7;;;;;;;;36953;-6.715.534;108.564.003
Kabupaten Cirebon;Nilai Rata-rata Sekolah UN SMA SMK;60,06;41,86;30,55;;;;;;;;76,99;12661;-6.715.534;108.564.003
Kabupaten Cirebon;Nilai Rata-rata Sekolah UN SMA IPS;65,87;53,89;55,95;;;;;52,61;50,35;55,45;;4626;-6.715.534;108.564.003
Kabupaten Cirebon;Nilai Rata-rata Sekolah UN SMA IPA;72,29;56,53;48,32;;64,08;53,63;61,86;;;;;4360;-6.715.534;108.564.003
Kabupaten Dairi;Nilai Rata-rata Sekolah UN SMP;66,16;51,89;46,8;51,43;;;;;;;;6428;28.675.801;98.265.058
Kabupaten Dairi;Nilai Rata-rata Sekolah UN SMA IPA;79,32;68,39;62,99;;74,64;69,27;67,57;;;;;1722;28.675.801;98.265.058
Kabupaten Dairi;Nilai Rata-rata Sekolah UN SMA IPS;69,56;62,95;59,53;;;;;61,19;61,36;47,01;;1377;28.675.801;98.265.058
Kabupaten Dairi;Nilai Rata-rata Sekolah UN SMA SMK;55,37;43,31;30,67;;;;;;;;74,57;1968;28.675.801;98.265.058
Kabupaten Deiyai;Nilai Rata-rata Sekolah UN SMA IPS;49,1;61,52;62,98;;;;;55,87;49,5;43,54;;101;-40.974.893;1.364.393.054
Kabupaten Deiyai;Nilai Rata-rata Sekolah UN SMA SMK;50,14;60,79;62,16;;;;;;;;70,94;58;-40.974.893;1.364.393.054
Kabupaten Deiyai;Nilai Rata-rata Sekolah UN SMA IPA;67,5;68,3;49,15;;42,97;72,62;62,73;;;;;43;-40.974.893;1.364.393.054
Kabupaten Deiyai;Nilai Rata-rata Sekolah UN SMP;55;54,98;50,11;60,96;;;;;;;;271;-40.974.893;1.364.393.054
Kabupaten Deli Serdang;Nilai Rata-rata Sekolah UN SMP;73,76;76,77;73,38;73,36;;;;;;;;29145;34.201.802;98.704.075
Kabupaten Deli Serdang;Nilai Rata-rata Sekolah UN SMA IPA;83,91;80,84;77,51;;87,37;81,98;72,48;;;;;5227;34.201.802;98.704.075
Kabupaten Deli Serdang;Nilai Rata-rata Sekolah UN SMA IPS;79,93;78,09;77,9;;;;;69,6;67,26;66,82;;3813;34.201.802;98.704.075
Kabupaten Deli Serdang;Nilai Rata-rata Sekolah UN SMA SMK;61,25;67,35;72,87;;;;;;;;80,54;9762;34.201.802;98.704.075
Kabupaten Demak;Nilai Rata-rata Sekolah UN SMP;66,64;46,8;41,78;46,65;;;;;;;;19206;-6.888.115;110.639.297
Kabupaten Demak;Nilai Rata-rata Sekolah UN SMA SMK;68,64;63,78;64,37;;;;;;;;87,21;3771;-6.888.115;110.639.297
Kabupaten Demak;Nilai Rata-rata Sekolah UN SMA IPS;63,85;58,91;49,86;;;;;64,64;64,3;51,67;;4402;-6.888.115;110.639.297
Kabupaten Demak;Nilai Rata-rata Sekolah UN SMA IPA;71,3;64,86;56,77;;70,34;49,14;64,78;;;;;3426;-6.888.115;110.639.297
Kabupaten Dharmasraya;Nilai Rata-rata Sekolah UN SMP;70,78;48,55;42,08;48,04;;;;;;;;2906;;
Kabupaten Dharmasraya;Nilai Rata-rata Sekolah UN SMA IPA;75,96;50,07;53,06;;74,18;56,54;63,16;;;;;503;;
Kabupaten Dharmasraya;Nilai Rata-rata Sekolah UN SMA IPS;69,61;43,32;66,55;;;;;55,39;57,82;43,13;;947;;
Kabupaten Dharmasraya;Nilai Rata-rata Sekolah UN SMA SMK;62,62;40,02;33,23;;;;;;;;75,82;490;;
Kabupaten Dogiyai;Nilai Rata-rata Sekolah UN SMP;48,23;52,31;50,56;53,39;;;;;;;;506;-40.193.872;1.359.610.446
Kabupaten Dogiyai;Nilai Rata-rata Sekolah UN SMA IPA;41,69;22,19;23,65;;22,19;22,5;27,81;;;;;8;-40.193.872;1.359.610.446
Kabupaten Dogiyai;Nilai Rata-rata Sekolah UN SMA SMK;0;0;0;;;;;;;;;;-40.193.872;1.359.610.446
Kabupaten Dogiyai;Nilai Rata-rata Sekolah UN SMA IPS;39,76;24,99;33,75;;;;;30,8;32,9;41,6;;156;-40.193.872;1.359.610.446
Kabupaten Dompu;Nilai Rata-rata Sekolah UN SMA SMK;42,81;31,76;24,85;;;;;;;;75,15;880;-84.966.318;1.184.747.173
Kabupaten Dompu;Nilai Rata-rata Sekolah UN SMA IPA;52,49;43,78;32,82;;46,57;29,92;39,51;;;;;1473;-84.966.318;1.184.747.173
Kabupaten Dompu;Nilai Rata-rata Sekolah UN SMA IPS;39,46;35,59;26,52;;;;;32,73;35,9;29,06;;1775;-84.966.318;1.184.747.173
Kabupaten Dompu;Nilai Rata-rata Sekolah UN SMP;50,07;42,46;42,73;44,4;;;;;;;;4778;-84.966.318;1.184.747.173
Kabupaten Donggala;Nilai Rata-rata Sekolah UN SMA SMK;60,69;48,25;48,28;;;;;;;;73,95;785;-0.4233155;1.198.352.303
Kabupaten Donggala;Nilai Rata-rata Sekolah UN SMA IPS;54,77;53,36;34,9;;;;;41,52;47,71;35,16;;963;-0.4233155;1.198.352.303
Kabupaten Donggala;Nilai Rata-rata Sekolah UN SMA IPA;59,94;57,96;41,13;;43,52;32,82;40,63;;;;;852;-0.4233155;1.198.352.303
Kabupaten Donggala;Nilai Rata-rata Sekolah UN SMP;66,64;63,26;62,83;65,69;;;;;;;;4981;-0.4233155;1.198.352.303
Kabupaten Empat Lawang;Nilai Rata-rata Sekolah UN SMP;62,3;50,49;47,5;48,94;;;;;;;;3886;-37.286.029;1.028.975.098
Kabupaten Empat Lawang;Nilai Rata-rata Sekolah UN SMA SMK;47,1;34,65;24,4;;;;;;;;72,05;546;-37.286.029;1.028.975.098
Kabupaten Empat Lawang;Nilai Rata-rata Sekolah UN SMA IPS;54,65;35,22;32,57;;;;;35,34;45,49;38,69;;1127;-37.286.029;1.028.975.098
Kabupaten Empat Lawang;Nilai Rata-rata Sekolah UN SMA IPA;63,87;41,29;36,27;;41,4;37,81;40,33;;;;;776;-37.286.029;1.028.975.098
Kabupaten Ende;Nilai Rata-rata Sekolah UN SMA SMK;58,13;34,9;27,88;;;;;;;;80,4;1111;-8.854.053;121.654.198
Kabupaten Ende;Nilai Rata-rata Sekolah UN SMA IPS;58,77;35;27,32;;;;;32,17;47,41;35,7;;2033;-8.854.053;121.654.198
Kabupaten Ende;Nilai Rata-rata Sekolah UN SMA IPA;71,28;47,09;28,54;;34,38;37,7;38,36;;;;;731;-8.854.053;121.654.198
Kabupaten Ende;Nilai Rata-rata Sekolah UN SMP;65,21;48,03;40;47,29;;;;;;;;5149;-8.854.053;121.654.198
Kabupaten Enrekang;Nilai Rata-rata Sekolah UN SMA SMK;66,31;76,71;71,44;;;;;;;;80,13;984;-3.563.128;1.197.612
Kabupaten Enrekang;Nilai Rata-rata Sekolah UN SMA IPS;74,19;65,93;80,04;;;;;64,63;56,34;58,51;;1092;-3.563.128;1.197.612
Kabupaten Enrekang;Nilai Rata-rata Sekolah UN SMA IPA;78,26;67,38;80,14;;84,86;57,12;83,72;;;;;1093;-3.563.128;1.197.612
Kabupaten Enrekang;Nilai Rata-rata Sekolah UN SMP;71,04;60,69;56,68;66,73;;;;;;;;4036;-3.563.128;1.197.612
Kabupaten FakFak;Nilai Rata-rata Sekolah UN SMA IPS;63,68;50,91;59,09;;;;;49,29;56,99;46,11;;449;-2.885.237;1.322.658.282
Kabupaten FakFak;Nilai Rata-rata Sekolah UN SMA SMK;55,78;47,59;48,72;;;;;;;;73,62;185;-2.885.237;1.322.658.282
Kabupaten FakFak;Nilai Rata-rata Sekolah UN SMA IPA;73,34;56,57;58,73;;54,57;53,7;59,68;;;;;323;-2.885.237;1.322.658.282
Kabupaten FakFak;Nilai Rata-rata Sekolah UN SMP;70,58;64,47;64,59;66,08;;;;;;;;1256;-2.885.237;1.322.658.282
Kabupaten Flores Timur;Nilai Rata-rata Sekolah UN SMA SMK;61,07;39,12;29,17;;;;;;;;79,89;663;-83.130.942;1.229.663.018
Kabupaten Flores Timur;Nilai Rata-rata Sekolah UN SMA IPS;61,24;37,08;29,91;;;;;34,43;50,28;38,83;;1071;-83.130.942;1.229.663.018
Kabupaten Flores Timur;Nilai Rata-rata Sekolah UN SMA IPA;69,17;45,76;28,8;;33,3;34,15;37,21;;;;;636;-83.130.942;1.229.663.018
Kabupaten Flores Timur;Nilai Rata-rata Sekolah UN SMP;67,64;46,19;39,78;49,04;;;;;;;;4453;-83.130.942;1.229.663.018
Kabupaten Garut;Nilai Rata-rata Sekolah UN SMP;65,11;52,88;52,03;54,66;;;;;;;;48537;-7.227.906;107.908.699
Kabupaten Garut;Nilai Rata-rata Sekolah UN SMA IPA;72,15;60,22;58,49;;70,66;63,11;65,58;;;;;6987;-7.227.906;107.908.699
Kabupaten Garut;Nilai Rata-rata Sekolah UN SMA IPS;67,4;57,09;62,28;;;;;57,31;54,8;59,5;;6671;-7.227.906;107.908.699
Kabupaten Garut;Nilai Rata-rata Sekolah UN SMA SMK;61,73;53,02;51,01;;;;;;;;79,08;10866;-7.227.906;107.908.699
Kabupaten Gayo Lues;Nilai Rata-rata Sekolah UN SMA SMK;72,83;56,51;69,53;;;;;;;;76,66;101;3.955.165;973.516.558
Kabupaten Gayo Lues;Nilai Rata-rata Sekolah UN SMA IPS;75,04;72,79;82,51;;;;;60,84;70,78;74,87;;448;3.955.165;973.516.558
Kabupaten Gayo Lues;Nilai Rata-rata Sekolah UN SMA IPA;72,37;73,96;76,49;;74,81;72,61;78,22;;;;;619;3.955.165;973.516.558
Kabupaten Gayo Lues;Nilai Rata-rata Sekolah UN SMP;77,71;68,05;68,04;66,99;;;;;;;;1652;3.955.165;973.516.558
Kabupaten Gianyar;Nilai Rata-rata Sekolah UN SMA SMK;74,62;77,48;74,27;;;;;;;;81,15;4478;-8.544.185;1.153.255
Kabupaten Gianyar;Nilai Rata-rata Sekolah UN SMA IPA;82,79;83,31;79,73;;83,71;81,27;80,6;;;;;1451;-8.544.185;1.153.255
Kabupaten Gianyar;Nilai Rata-rata Sekolah UN SMA IPS;76,88;78,76;75,04;;;;;65,91;72,46;67,44;;494;-8.544.185;1.153.255
Kabupaten Gianyar;Nilai Rata-rata Sekolah UN SMP;70,88;62,42;59,03;64,39;;;;;;;;7572;-8.544.185;1.153.255
Kabupaten Gorontalo;Nilai Rata-rata Sekolah UN SMA SMK;58,63;54,52;50,62;;;;;;;;81,19;1494;0.5333333;1.230.666.667
Kabupaten Gorontalo;Nilai Rata-rata Sekolah UN SMA IPS;56,9;48,15;35,16;;;;;41,82;48,45;39,88;;1195;0.5333333;1.230.666.667
Kabupaten Gorontalo;Nilai Rata-rata Sekolah UN SMA IPA;67,3;59,69;41,09;;52,63;38,01;54,82;;;;;1283;0.5333333;1.230.666.667
Kabupaten Gorontalo;Nilai Rata-rata Sekolah UN SMP;66,52;65,33;66,74;68,89;;;;;;;;6263;0.5333333;1.230.666.667
Kabupaten Gorontalo Utara;Nilai Rata-rata Sekolah UN SMP;72,93;68,91;68,99;64,54;;;;;;;;1943;0.9252647;1.224.920.088
Kabupaten Gorontalo Utara;Nilai Rata-rata Sekolah UN SMA IPA;73,67;67,55;53,9;;51,22;52,72;46,37;;;;;369;0.9252647;1.224.920.088
Kabupaten Gorontalo Utara;Nilai Rata-rata Sekolah UN SMA IPS;65,19;59,9;51,6;;;;;55,64;52,67;43,99;;707;0.9252647;1.224.920.088
Kabupaten Gorontalo Utara;Nilai Rata-rata Sekolah UN SMA SMK;62,47;46,84;60,05;;;;;;;;75,26;178;0.9252647;1.224.920.088
Kabupaten Gowa;Nilai Rata-rata Sekolah UN SMP;63,88;60,86;56,13;63,64;;;;;;;;11987;-53.102.888;119.742.604
Kabupaten Gowa;Nilai Rata-rata Sekolah UN SMA IPA;73,96;74,34;56,64;;82,95;50,27;80,64;;;;;3689;-53.102.888;119.742.604
Kabupaten Gowa;Nilai Rata-rata Sekolah UN SMA IPS;65,05;69,94;63,59;;;;;69,84;48,32;51,92;;2351;-53.102.888;119.742.604
Kabupaten Gowa;Nilai Rata-rata Sekolah UN SMA SMK;61,89;72,81;57,97;;;;;;;;78,47;2596;-53.102.888;119.742.604
Kabupaten Gresik;Nilai Rata-rata Sekolah UN SMA SMK;66,17;48,58;40,21;;;;;;;;76,88;4845;-715.665;1.126.555
Kabupaten Gresik;Nilai Rata-rata Sekolah UN SMA IPS;67,08;68,99;73,59;;;;;63,51;69,45;60,96;;3997;-715.665;1.126.555
Kabupaten Gresik;Nilai Rata-rata Sekolah UN SMA IPA;74,77;72,84;72,73;;73,48;63,88;73,78;;;;;4940;-715.665;1.126.555
Kabupaten Gresik;Nilai Rata-rata Sekolah UN SMP;77,81;68,88;69,72;76,38;;;;;;;;19030;-715.665;1.126.555
Kabupaten Grobogan;Nilai Rata-rata Sekolah UN SMP;67,9;48,19;43,36;46,56;;;;;;;;22582;-70.217.194;1.109.625.854
Kabupaten Grobogan;Nilai Rata-rata Sekolah UN SMA SMK;68,53;60,47;56,24;;;;;;;;83,94;4758;-70.217.194;1.109.625.854
Kabupaten Grobogan;Nilai Rata-rata Sekolah UN SMA IPS;65,25;52,54;40,4;;;;;61,55;55,41;43,75;;3318;-70.217.194;1.109.625.854
Kabupaten Grobogan;Nilai Rata-rata Sekolah UN SMA IPA;73,15;59,59;47,06;;61,85;44,99;57,64;;;;;3571;-70.217.194;1.109.625.854
Kabupaten Gunung Kidul;Nilai Rata-rata Sekolah UN SMA SMK;76,21;52,89;56,12;;;;;;;;78,84;5272;-80.305.091;1.106.168.921
Kabupaten Gunung Kidul;Nilai Rata-rata Sekolah UN SMA IPS;76,01;50,31;47,29;;;;;46,63;58,72;53,36;;1359;-80.305.091;1.106.168.921
Kabupaten Gunung Kidul;Nilai Rata-rata Sekolah UN SMA IPA;82,34;60,03;47,32;;51,34;55;58,35;;;;;778;-80.305.091;1.106.168.921
Kabupaten Gunung Kidul;Nilai Rata-rata Sekolah UN SMP;80,02;54,07;48,88;54,92;;;;;;;;10262;-80.305.091;1.106.168.921
Kabupaten Gunung Mas;Nilai Rata-rata Sekolah UN SMA SMK;66,46;56,23;60,53;;;;;;;;76,03;105;-67.052.778;1.069.913.889
Kabupaten Gunung Mas;Nilai Rata-rata Sekolah UN SMA IPS;62,73;52,48;53,59;;;;;42,12;51;48,21;;402;-67.052.778;1.069.913.889
Kabupaten Gunung Mas;Nilai Rata-rata Sekolah UN SMA IPA;72,91;56,57;51,83;;46,71;58,39;53,74;;;;;357;-67.052.778;1.069.913.889
Kabupaten Gunung Mas;Nilai Rata-rata Sekolah UN SMP;69,74;63,58;59,82;63,28;;;;;;;;1580;-67.052.778;1.069.913.889
Kabupaten Halmahera Barat;Nilai Rata-rata Sekolah UN SMP;58,7;55,8;52,97;59,65;;;;;;;;2109;13.121.235;1.284.849.923
Kabupaten Halmahera Barat;Nilai Rata-rata Sekolah UN SMA IPA;56,54;51,74;39,59;;45,83;37,01;51,13;;;;;594;13.121.235;1.284.849.923
Kabupaten Halmahera Barat;Nilai Rata-rata Sekolah UN SMA IPS;52,09;42,32;38,58;;;;;33,86;44,93;32,76;;418;13.121.235;1.284.849.923
Kabupaten Halmahera Barat;Nilai Rata-rata Sekolah UN SMA SMK;44,2;43,76;29,95;;;;;;;;77,73;300;13.121.235;1.284.849.923
Kabupaten Halmahera Selatan;Nilai Rata-rata Sekolah UN SMP;66,61;61,76;57,23;59,24;;;;;;;;4428;13.121.235;1.284.849.923
Kabupaten Halmahera Selatan;Nilai Rata-rata Sekolah UN SMA IPA;56,87;45,82;43,73;;38,9;43,14;43,81;;;;;1621;13.121.235;1.284.849.923
Kabupaten Halmahera Selatan;Nilai Rata-rata Sekolah UN SMA IPS;50,87;42,57;49,71;;;;;41,5;52,79;41,48;;983;13.121.235;1.284.849.923
Kabupaten Halmahera Selatan;Nilai Rata-rata Sekolah UN SMA SMK;40,49;43,18;41,7;;;;;;;;75,3;448;13.121.235;1.284.849.923
Kabupaten Halmahera Tengah;Nilai Rata-rata Sekolah UN SMA SMK;50,07;47,85;35,95;;;;;;;;79,84;168;13.121.235;1.284.849.923
Kabupaten Halmahera Tengah;Nilai Rata-rata Sekolah UN SMA IPS;55,27;47,43;41,18;;;;;44,14;45,22;40,81;;278;13.121.235;1.284.849.923
Kabupaten Halmahera Tengah;Nilai Rata-rata Sekolah UN SMA IPA;60,56;52,24;44,44;;47,34;38,15;52,31;;;;;272;13.121.235;1.284.849.923
Kabupaten Halmahera Tengah;Nilai Rata-rata Sekolah UN SMP;59,74;64,94;53,69;59,64;;;;;;;;917;13.121.235;1.284.849.923
Kabupaten Halmahera Timur;Nilai Rata-rata Sekolah UN SMA SMK;69,15;74,27;74,67;;;;;;;;86,67;219;13.121.235;1.284.849.923
Kabupaten Halmahera Timur;Nilai Rata-rata Sekolah UN SMA IPS;65,56;51,91;54,73;;;;;60,22;53,88;46,13;;299;13.121.235;1.284.849.923
Kabupaten Halmahera Timur;Nilai Rata-rata Sekolah UN SMA IPA;70,95;51,52;52,58;;62,08;63,31;57,91;;;;;376;13.121.235;1.284.849.923
Kabupaten Halmahera Timur;Nilai Rata-rata Sekolah UN SMP;72,54;62,56;66,68;68,98;;;;;;;;1415;13.121.235;1.284.849.923
Kabupaten halmahera Utara;Nilai Rata-rata Sekolah UN SMA SMK;52,74;58,77;48,2;;;;;;;;76,91;976;13.121.235;1.284.849.923
Kabupaten halmahera Utara;Nilai Rata-rata Sekolah UN SMA IPS;56,39;44,58;63,1;;;;;45,24;55,67;39,16;;931;13.121.235;1.284.849.923
Kabupaten halmahera Utara;Nilai Rata-rata Sekolah UN SMA IPA;61,61;46,19;54,53;;55,37;42,28;54,83;;;;;697;13.121.235;1.284.849.923
Kabupaten halmahera Utara;Nilai Rata-rata Sekolah UN SMP;64,51;66,05;63,05;68,66;;;;;;;;3313;13.121.235;1.284.849.923
Kabupaten Hulu Sungai Selatan;Nilai Rata-rata Sekolah UN SMA SMK;73,17;66,79;62,39;;;;;;;;76,14;558;-27.662.681;1.152.363.408
Kabupaten Hulu Sungai Selatan;Nilai Rata-rata Sekolah UN SMA IPS;66,23;64,02;47,16;;;;;60,28;63,69;44,08;;841;-27.662.681;1.152.363.408
Kabupaten Hulu Sungai Selatan;Nilai Rata-rata Sekolah UN SMP;71,87;52,44;46,85;56,4;;;;;;;;3149;-27.662.681;1.152.363.408
Kabupaten Hulu Sungai Selatan;Nilai Rata-rata Sekolah UN SMA IPA;73,9;71,11;73,39;;76,98;60,2;67,59;;;;;545;-27.662.681;1.152.363.408
Kabupaten Hulu Sungai Tengah;Nilai Rata-rata Sekolah UN SMA IPA;77,12;71,81;74,69;;70,96;62,48;67,06;;;;;777;-26.153.162;1.155.207.358
Kabupaten Hulu Sungai Tengah;Nilai Rata-rata Sekolah UN SMP;73,32;62,46;60,21;66,46;;;;;;;;4204;-26.153.162;1.155.207.358
Kabupaten Hulu Sungai Tengah;Nilai Rata-rata Sekolah UN SMA IPS;69,99;65,23;57,6;;;;;58,24;66,41;55;;1119;-26.153.162;1.155.207.358
Kabupaten Hulu Sungai Tengah;Nilai Rata-rata Sekolah UN SMA SMK;62,67;50,72;39,88;;;;;;;;74,98;796;-26.153.162;1.155.207.358
Kabupaten Hulu Sungai Utara;Nilai Rata-rata Sekolah UN SMA SMK;65,13;44,18;38,27;;;;;;;;74,83;625;-24.421.225;115.188.916
Kabupaten Hulu Sungai Utara;Nilai Rata-rata Sekolah UN SMA IPS;65,65;68,39;48,63;;;;;57,18;64,36;43,9;;882;-24.421.225;115.188.916
Kabupaten Hulu Sungai Utara;Nilai Rata-rata Sekolah UN SMP;73,9;65,4;67,32;72,44;;;;;;;;3411;-24.421.225;115.188.916
Kabupaten Hulu Sungai Utara;Nilai Rata-rata Sekolah UN SMA IPA;74,49;74;77,17;;80,07;61,87;68,04;;;;;550;-24.421.225;115.188.916
Kabupaten Humbang Hasundutan;Nilai Rata-rata Sekolah UN SMA SMK;64,74;62,06;57,05;;;;;;;;79,32;1417;21.988.508;985.721.016
Kabupaten Humbang Hasundutan;Nilai Rata-rata Sekolah UN SMA IPS;70,54;57,15;56,19;;;;;59,66;59,78;49,31;;918;21.988.508;985.721.016
Kabupaten Humbang Hasundutan;Nilai Rata-rata Sekolah UN SMA IPA;75,89;63,22;62,13;;67,64;58,07;57,96;;;;;1091;21.988.508;985.721.016
Kabupaten Humbang Hasundutan;Nilai Rata-rata Sekolah UN SMP;65,32;43,8;38,19;41,66;;;;;;;;4521;21.988.508;985.721.016
Kabupaten Indragiri Hilir;Nilai Rata-rata Sekolah UN SMA SMK;68,37;64,32;62,4;;;;;;;;82,38;1119;-0.1456733;102.989.615
Kabupaten Indragiri Hilir;Nilai Rata-rata Sekolah UN SMA IPS;71,99;59,54;61,46;;;;;53,49;60,52;53,84;;3487;-0.1456733;102.989.615
Kabupaten Indragiri Hilir;Nilai Rata-rata Sekolah UN SMA IPA;79,5;66,62;67,24;;73,86;66,44;65,86;;;;;1532;-0.1456733;102.989.615
