Wilayah;Lintang;Bujur;SD;SMP;SMA;SMK;PLB
Kab. Halmahera Timur;1,031247;128,308508;20,63;24,28;28,9;18,37;0
Kab. halmahera Utara;1,542498;127,831041;21,28;32,17;31,23;25,83;10
Kab. Hulu Sungai Selatan;-2,728708;115,206941;13,05;20,54;27,32;28,84;11,91
Kab. Hulu Sungai Tengah;-2,603082;115,508655;13,88;21,96;30,24;29,25;4,23
Kab. Hulu Sungai Utara;-2,439095;115,15356;13,22;20,53;25,27;22,7;8,18
Kab. Humbang Hasudutan;2,271275;98,571552;19,91;29,4;31,07;26,06;0
Kab. Indragiri Hilir;-0,233267;103,157281;23,39;25,63;30,07;30,28;8,53
Kab. Indragiri Hulu;-0,533325;102,327497;24,23;28,6;28;31,67;6,41
Kab. Indramayu;-6,448667;108,167474;27,56;32,27;31,41;44,98;6,66
Kab. Intan Jaya;-3,489377;136,811091;21,97;17,08;11,33;0;0
Kab. Jaya Wijaya;-3,999565;139,044113;31,58;35,57;29,99;36,7;0
Kab. Jayapura;-2,999412;139,970663;22,12;31,72;26,96;22,83;0
Kab. Jember;-8,237297;113,660378;24,73;31,57;32,95;36,94;5,25
Kab. Jembrana;-8,309725;114,676098;21,85;32,26;37,66;37,93;7,2
Kab. Jeneponto;-5,567529;119,69853;24,11;24,55;30,53;31,14;7,17
Kab. Jepara;-6,558808;110,767824;23,63;33,76;30,01;32,66;6,02
Kab. Jombang;-7,546638;112,263158;21,52;30,62;36,21;37,32;6,16
Kab. Kaimana;-3,613912;134,02096;17,2;23,33;35,7;12,8;0
Kab. Kampar;0,325658;101,07211;25,36;28,29;29,43;21,35;4,32
Kab. Kapuas;-1,747168;114,297921;15,45;20,52;25,68;26,35;4,63
Kab. Kapuas Hulu;0,830552;112,805926;13,72;24,01;28,69;32,26;6,89
Kab. Karang Asem;-8,375005;115,533321;18,9;36,47;29,43;36,56;4
Kab. Karanganyar;-7,611167;111,014738;21,48;29,6;34,53;37,08;4,79
Kab. Karawang;-6,260195;107,351225;35,03;40,56;44,7;53,02;6,82
Kab. Karimun;0,814806;103,532276;24,85;31,24;30,85;28,99;7,5
Kab. Karo;3,120113;98,295622;23,41;29,69;35,05;49,11;5,94
Kab. Katingan;-1,69852;113,059688;16,97;21,27;21,89;22,94;5,11
Kab. Kaur;-4,607207;103,407544;17,47;22,71;27,74;21,28;5,13
Kab. Kayong Utara;-1,097731;109,921504;20,88;25,22;28,6;20,15;8
Kab. Kebumen;-7,653604;109,617072;22,53;29,91;30,04;39,77;8,52
Kab. Kediri;-7,829455;112,088049;23,97;34,39;34,42;51,69;6,16
Kab. Keerom;-3,303821;140,604589;19,71;21,5;24,6;18,77;0
Kab. Kendal;-7,038367;110,157089;22,99;30,09;29,37;39,37;7,23
Kab. Kep. Sangihe;3,550194;125,541413;9,01;18,78;15,75;18,67;3,92
Kab. Kepahiang;-3,6283;102,641763;21,77;24,75;27,4;25,57;7,22
Kab. Kepulauan Anambas;3,087055;106,068969;15,2;19,97;28,82;21,62;0
Kab. Kepulauan Aru;-6,195643;134,449956;17,08;22,83;31,67;26,4;0
Kab. Kepulauan Mentawai;-1,847923;99,335686;17,04;28,61;25,21;0;0
Kab. Kepulauan Meranti;1,002854;102,650429;18,47;24,08;28,39;17,73;8,04
Kab. Kepulauan Morotai;2,316553;128,448369;21,6;35,64;31,05;31,19;0
Kab. Kepulauan Selayar;-6,561917;120,715074;18,4;20,91;30,06;24,32;2,5
Kab. Kepulauan Seribu;-5,731275;106,593673;25,02;33,27;24,1;16,5;0
Kab. Kepulauan Sitaro;2,540036;125,397165;9,92;21,28;22,12;14,75;0
Kab. Kepulauan Sula;-1,963526;125,839086;20,98;20,18;27,69;28,88;6,83
Kab. Kepulauan Talaud;4,226045;126,781516;13,07;17,51;21,63;11,65;0
Kab. Kepulauan Yapen;-1,746589;136,176891;18,48;27,64;34,54;22,87;0
Kab. Kerinci;#N/A;#N/A;15,81;18,48;28,13;19,93;0
Kab. Ketapang;-1,635546;110,610791;20,7;28,41;30,91;31,32;3,08
Kab. Klaten;-7,685269;110,614333;20,2;29,25;27,61;34,7;4,29
Kab. Klungkung;-8,667067;115,494042;18,31;34,29;30,18;39,19;14,57
Kab. Kolaka;-4,074849;121,528455;21,21;25,83;30,82;18,62;8,2
KAB. KOLAKA TIMUR;-3,80457;121,617137;16,73;23,45;33,84;22,91;5
Kab. Kolaka Utara;-3,247692;121,156236;20,05;20,95;28,16;21,28;0
Kab. Konawe;-3,525443;121,886179;20,21;23,13;29,53;20,84;4,67
Kab. Konawe Kepulauan;-4,114429;123,095098;17,75;23,08;28,93;7,53;0
Kab. Konawe Selatan;-4,262675;122,420695;20,28;24,8;31,37;24,86;9,93
Kab. Konawe Utara;-3,385079;121,996927;15,79;20,51;28,04;16,43;5,89
Kab. Kota Baru;-2,987148;116,06572;21,09;26,86;28,27;35,31;4,93
Kab. Kotawaringin Barat;-2,545993;111,746784;23,74;26,95;26,76;23,98;6
Kab. Kotawaringin Timur;-2,064886;112,712986;22,94;29,08;32,74;29,04;5,77
Kab. Kuantan Singingi;-0,478645;101,50347;20,79;21,78;26,77;25,64;2,67
Kab. Kuburaya;-0,37051;109,555358;23,44;26,97;29,93;30,52;4,75
Kab. Kudus;-6,797736;110,868459;20,7;30,97;30,44;35,99;9,72
Kab. Kulon Progo;-7,816429;110,173805;16,47;24,77;22,76;24,35;5,26
Kab. Kuningan;-7,001326;108,561076;23,59;30,84;32,64;46,37;5,44
Kab. Kupang;-9,918299;123,859929;21,04;26,51;30,13;17,64;6,67
Kab. Kutai Barat;-0,505965;115,834365;15,33;27;25,15;26,69;15,8
Kab. Kutai Kartanegara;0,090954;116,509145;21,83;26,71;27,83;28,71;7,69
Kab. Kutai Timur;0,958004;117,138152;24,67;25,95;26,27;23,45;11,89
Kab. Labuhan Batu;2,278827;100,056515;27,58;31,99;37,64;31,64;10,22
Kab. Labuhan Batu Selatan;1,837378;100,132924;27,99;28,54;34,31;32,41;0
Kab. Labuhan Batu Utara;2,406209;99,752444;22,87;32,04;34,64;30,14;0
Kab. Lahat;-3,830556;103,385279;22,79;31,9;29,37;34,6;7,23
Kab. Lamandau;-1,800456;111,40663;15,23;19,95;21,11;16,05;11
Kab. Lamongan;-7,13394;112,299787;14,06;24,64;28,3;26,74;8,69
Kab. Lampung Barat;-5,055289;104,254783;19,43;23,09;27,68;23,82;0
Kab. Lampung Selatan;-5,532652;105,500421;29,6;31,82;32,07;36,02;6,75
Kab. Lampung Tengah;-4,860978;105,265619;23,88;27,09;26,47;29,75;7,78
Kab. Lampung Timur;-5,136695;105,649068;23,15;28,7;30,79;41,5;6,76
Kab. Lampung Utara;-4,809281;104,805784;21,94;29,2;33,29;32,78;5,45
Kab. Landak;0,553939;109,778883;19,19;30,55;33,9;30,54;3,8
Kab. Langkat;3,71084;98,220022;25,37;30,02;34,19;33,73;13,5
Kab. Lanny Jaya;-3,863168;138,363149;37,27;32,13;32,31;14,33;0
Kab. Lebak;-6,647376;106,214344;28,56;30,12;34,4;34,46;8,84
Kab. Lebong;-3,090302;102,249124;18,27;23,99;31,48;25,81;63
Kab. Lembata;-8,380309;123,542394;17,43;26,34;30,94;15,73;21,86
Kab. Lima Puluh Koto;0,02978;100,565881;18,42;23,13;28,29;33,35;5,73
Kab. Lingga;-0,219417;104,525425;14,7;21,66;22,83;17,47;0
Kab. Lombok Barat;-8,664498;116,094171;27,89;26,62;30,88;32,55;3,88
Kab. Lombok Tengah;-8,722796;116,289215;24,1;25,02;29,99;29,52;7,49
Kab. Lombok Timur;-8,532951;116,53086;25;30,08;33,22;28,57;9,52
Kab. Lombok Utara;-8,34901;116,283489;25,32;27,17;28,73;28,76;4,67
Kab. Lumajang;-8,125789;113,13811;19,9;29,58;30,31;31,93;8,46
Kab. Luwu;-3,198656;120,182556;22,07;24,51;34,18;26,95;6,87
Kab. Luwu Timur;-2,550704;121,138524;22,61;28,2;31;24,12;59
Kab. Luwu Utara;-2,395277;120,160874;20,51;24,06;31,13;31,56;25,4
Kab. Madiun;-7,625315;111,644357;16,69;24,44;28,59;37,34;7,55
Kab. Magelang;-7,502855;110,247618;20,69;29,34;28,59;35,23;6,3
Kab. Magetan;-7,663175;111,355653;13,78;22,34;26,63;29,01;14,66
KAB. MAHAKAM ULU;0,723449;114,864563;17,68;26,37;36,38;47,75;0
Kab. Majalengka;-6,81623;108,25876;25,12;28,3;30,8;39,61;6,41
Kab. Majene;-3,166697;118,919585;18,39;25,34;25,56;25,55;10,59
Kab. Malaka;-9,521802;124,889285;18,18;24,27;37,45;15,83;0
Kab. Malang;-8,125146;112,638023;23,6;29,22;30,02;32,35;4,17
Kab. Malinau;2,477869;115,714739;15,13;26,08;32,11;28,33;4,92
Kab. Maluku Barat Daya;-7,83242;127,310355;14,92;20,79;26,23;19,7;0
Kab. Maluku Tengah;-3,160831;129,257273;20,07;23,9;27,61;15,28;7,33
Kab. Maluku Tenggara;-5,674072;132,888114;17,5;26,57;25;16,28;12
Kab. Maluku Tenggara Barat;-7,57938;131,366903;21,63;21,39;24,56;16,09;5,5
Kab. Mamasa;-2,948801;119,311872;14,01;21,48;26,48;24,57;36,67
Kab. Mamuju;-2,530347;119,325316;20,08;28,51;30,97;32,61;9,39
Kab. Mamuju Tengah;-2,007715;119,518493;20,57;30,15;32,71;28,19;11,38
Kab. Mamuju Utara;-1,485484;119,507161;23,04;24,21;32,6;26,87;7
Kab. Mandailing Natal;0,774433;99,369332;23,43;21,45;29,62;41,64;15,43
Kab. Manggarai;-8,56934;120,40154;24,44;36,22;38,97;35,58;6,38
Kab. Manggarai Barat;-8,602595;119,988827;21,17;34,45;33,51;33,4;0
Kab. Manggarai Timur;-8,571687;120,690587;20,56;33,53;40,11;28,7;2,92
Kab. Manokwari;-0,98782;133,704874;29,26;28,98;28;30,31;5,63
Kab. Manokwari Selatan;-1,616173;134,036623;23,96;28,8;23,31;14,33;0
Kab. Mappi;-6,496386;139,388925;46,05;46,25;38,59;32,5;0
Kab. Maros;-5,000612;119,724767;23,77;27,31;29,6;23,28;2,89
Kab. Maybrat;-1,388245;132,340893;16,03;19,93;19,67;4,44;0
Kab. Melawi;-0,592595;111,901052;18,06;22,46;31,39;25,24;7,71
Kab. Memberamo Raya;-2,420155;137,8257;44,23;33,5;30,33;0;0
Kab. Membramo Tengah;-3,647605;139,191232;28,42;30,81;16,6;0;0
Kab. Mempawah;0,331074;109,173882;20,89;29,97;35,42;24,84;5
Kab. Merangin;-2,180141;102,041848;21,3;22,8;28,61;27,56;4,83
Kab. Merauke;-7,850677;139,660659;24,15;26,15;31,64;24,66;4,22
Kab. Mesuji;-4,023685;105,377802;26,2;26,72;33,22;31,32;0
Kab. Mimika;-4,425247;136,549481;35,08;33,04;33,49;22,79;0
Kab. Minahasa;1,254671;124,855124;14,09;21,18;27,21;22,8;1,72
Kab. Minahasa Selatan;1,084294;124,521088;16,26;23,29;25,02;24,31;4,17
Kab. Minahasa Tenggara;1,01068;124,723029;21,56;21,81;24,86;32,76;19,25
Kab. Minahasa Utara;1,550788;125,006836;16,98;22,75;25,14;28,38;6,45
Kab. Mojokerto;-7,55065;112,483257;22,08;29,36;31,61;38,5;4,56
Kab. Morowali;-2,692799;121,912657;17,7;23,16;29,14;17,46;0
Kab. Morowali Utara;-1,814235;121,384665;15,15;23,27;31,32;23,22;6,71
Kab. Muara Enim;-3,644847;103,993816;26,44;30,62;31,46;37,13;6,05
Kab. Muaro Jambi;-1,599576;103,786868;23,5;23,55;25,86;25,23;20,43
Kab. Muko-muko;-2,700495;101,485771;20,64;20,97;27,92;21,72;4,88
Kab. Muna;-4,951805;122,636723;21,57;23,6;27,8;28,35;8,12
Kab. Muna Barat;-4,801822;122,511873;18,94;24,7;28;15,5;6,28
Kab. Murung Raya;-0,030227;114,279545;15,72;20,05;25,32;16,2;3,67
Kab. Musi Banyuasin;-2,443731;103,830404;24,79;29,92;31,95;30,21;7,36
Kab. Musi Rawas;-3,166718;103,145163;21,88;29,91;33,57;29,57;8,3
Kab. Musi Rawas Utara;-2,745137;102,734614;23,74;29,23;34,02;34;0
Kab. Nabire;-3,344458;135,315433;25,99;26,06;30,03;19,39;5,73
Kab. Nagakeo;-8,687717;121,269777;17,42;21,17;36,94;21,29;7
Kab. Nagan Raya;4,155455;96,506742;17,39;21,43;25,84;33,36;26
Kab. Natuna;3,722147;108,289453;18,86;20,41;23,51;11,26;0
Kab. Nduga;-4,279179;138,405458;39,28;22,04;5,67;0;0
Kab. Ngada;-8,667227;120,999504;19,05;24,95;28,74;19,12;3,36
Kab. Nganjuk;-7,597576;111,937169;20,7;29,02;33,34;35,43;6,57
Kab. Ngawi;-7,438155;111,342729;16,94;26,7;29,42;31,86;10,44
Kab. Nias;1,065106;97,731596;21,29;29,77;31,44;24,28;0
Kab. Nias Barat;1,029155;97,495417;19,03;26,4;29,18;19,89;0
Kab. Nias Selatan;0,321339;98,103141;23,03;29,52;36,25;33,38;0
Kab. Nias Utara;1,31276;97,355443;18,44;28,13;34,67;26,01;0
Kab. Nunukan;3,994155;116,662655;22,15;30,96;36,54;26,03;6,09
Kab. Ogan Ilir;-3,409962;104,600841;24,74;29,26;25,96;41,82;5
Kab. Ogan Komering Ilir;-3,343129;105,390679;26,8;32,51;35,54;44,44;15
Kab. Ogan Komering Ulu;-4,100701;104,093825;30,38;31,46;33,54;23,15;5,36
Kab. Ogan Komering Ulu Selatan;-4,590819;103,915271;23,29;29,29;35,13;42,93;0
Kab. Ogan Komering Ulu Timur;-4,068823;104,567978;22,47;29,13;34,33;27,04;3,83
Kab. Pacitan;-8,126729;111,177001;15,03;25,27;29,29;27,72;5,3
Kab. Padang Lawas;1,140434;99,844134;28,36;22,7;37,74;42,1;0
Kab. Padang Lawas utara;1,592977;99,756631;27,21;22,3;28,31;19,88;7,83
Kab. Padang Pariaman;-0,562282;100,227658;20,23;24,54;29,32;23,99;4,42
Kab. Pakpak Bharat;2,554219;98,240398;16,5;19,4;26,58;30,59;3
Kab. Pamekasan;-7,067173;113,502139;19,29;24,61;31,57;28,24;7,71
Kab. Pandeglang;-6,5879;105,749813;25,63;30,56;33;31,14;6,14
Kab. Pangandaran;-7,632211;108,516612;18,4;26,95;30,05;43,62;15,05
Kab. Pangkajene Kepulauan;-4,933807;119,483553;20,99;26,63;29,98;35,85;4,51
Kab. Paniai;-3,737513;136,546852;36,63;44,33;28,05;11,44;0
Kab. Parigi Moutong;0,01505;120,450984;21,36;25,2;35,38;23,57;33,33
Kab. Pasaman;0,387347;100,082759;21,56;27,24;36,68;35,16;16,58
Kab. Pasaman Barat;0,206925;99,678103;26,01;26,13;33,12;31,74;5,31
Kab. Paser;-1,733253;116,094792;21,82;26,44;32,72;36,11;7,33
Kab. Pasuruan;-7,745044;112,829266;25,13;31,22;29,62;33,39;6,53
Kab. Pati;-6,745947;111,040431;20,39;28,09;33,9;35,68;8,93
Kab. Pegunungan Arfak;-1,337114;133,761419;27,15;34,61;80,8;15;0
Kab. Pegunungan Bintang;-4,535183;140,553424;27,96;31,78;14;9,23;0
Kab. Pekalongan;-7,061092;109,632222;23,2;33,15;29,68;36,42;10,95
